District Code,State,White,Asian,Black,Hispanic,Other,18 to 29,30 to 49,50 to 69,70+,HS or less,Some college,Associate's,Bachelor's or greater,25k or less,25k to 50k,50k to 75k,75k to 100k,100k or greater
CO-06,CO,402940,56338,91318,159402,27053,98737,209465,165199,65836,140039,96617,41370,217432,28176,39801,44558,36559,126972
CO-07,CO,540488,32417,16964,109182,26740,90873,203889,191837,85071,136884,103583,43122,248262,29992,40835,44688,38163,142571
CO-08,CO,373277,33210,21988,278098,32583,103173,210487,150685,53838,193979,102485,41713,131262,26798,39505,41206,37967,106810
CT-01,CT,411361,49243,133181,128216,12916,95943,185851,186655,84005,182543,86799,42939,194953,43831,44771,42554,37855,123267
CT-02,CT,562700,33870,42913,67036,18178,94009,168552,207861,91796,173537,94537,45786,196089,33599,41681,40966,36949,132734
CT-03,CT,437845,40442,119756,121255,12633,100500,178929,194105,87698,189120,83128,36425,200403,41409,44265,41187,35557,123576
CT-04,CT,410531,48354,100488,155911,10451,85086,183103,192956,77009,140554,63316,28220,261846,32377,33232,30559,25244,142176
CT-05,CT,456795,33784,71078,150875,12703,89414,177489,193249,87971,185110,86753,38797,189935,41625,45811,40280,33251,121051
DE-01,DE,579851,50969,244944,104290,22939,122674,239129,269278,129105,269473,130994,58540,241357,51964,68927,63367,54374,150368
FL-01,FL,533911,35309,116673,59438,28943,107849,194381,194678,89243,184785,123684,62871,162826,42942,60144,54660,41495,100950
FL-02,FL,486775,23108,188670,54315,20463,124947,191366,191504,89238,214329,107602,47759,155425,61355,67831,54010,39459,79484
FL-03,FL,500368,30817,135375,89389,17062,120814,176239,189995,110486,226073,102781,52504,145690,64543,71079,52128,34234,73298
FL-04,FL,400933,28670,262951,67385,19338,98039,201302,198291,79078,221782,122544,55053,133229,51537,61566,52774,39790,89332
FL-05,FL,497450,59075,107690,92795,17208,103954,208568,187893,86670,152228,99749,50083,234888,35724,52757,51023,40069,122475
FL-06,FL,548571,16943,99968,88354,18038,82583,163876,224856,151251,253478,126901,62675,137589,61124,76478,61797,41464,82047
FL-07,FL,472857,39599,90635,159630,17714,94641,201070,206120,102467,179311,115175,68143,197201,40063,59638,55329,44723,107966
FL-08,FL,550406,26948,87279,89241,18399,81052,165952,232664,143129,197365,125266,68781,191585,46902,63375,56630,42289,103943
FL-09,FL,231009,40772,106793,398290,17159,105073,222282,171180,67784,196157,100036,58616,162037,34869,51756,47975,36397,73319
FL-10,FL,272949,46845,217311,229989,15929,145737,221542,162886,63838,191373,86816,57023,186384,47861,57303,48704,37204,84964
FL-11,FL,456769,38409,109029,148527,15841,76691,193484,198004,139965,202476,115505,62022,191888,34584,56847,51841,41104,107860
FL-12,FL,578906,21492,49184,104305,19038,77066,173840,219588,142649,256329,127800,59051,132118,58868,73323,58375,41618,80375
FL-13,FL,569083,34687,65273,85330,16580,76780,170361,238675,149323,211611,126149,61057,200427,57580,68738,58102,41612,106619
FL-14,FL,356844,40939,162110,208836,14511,112243,221104,190470,80561,194309,96257,48187,220119,54663,64459,54679,40334,106344
FL-15,FL,392970,48862,130484,193574,18116,109976,204738,186561,90340,210383,98776,53941,170357,49053,63339,52911,37610,91133
FL-16,FL,460213,30034,106142,166150,16623,81789,189958,201440,125374,205767,110459,55563,187609,38601,56272,50516,40299,109468
FL-17,FL,581035,17146,51707,105922,13552,68911,144072,238696,202310,235786,129463,59817,194470,51234,67352,63959,47769,109472
FL-18,FL,425396,16114,112730,207594,18492,95997,189375,188273,120724,281577,113399,49306,103096,56858,70679,53967,37633,65659
FL-19,FL,536453,18828,57118,146650,11915,71869,150954,223997,192958,211248,118906,54746,219452,46420,60675,58858,44156,121204
FL-20,FL,158637,25320,407543,181082,10765,101811,204840,187941,87126,247805,101468,53052,132929,58223,64987,53279,35571,68983
FL-21,FL,491801,23461,109268,134691,14446,77609,169381,220860,151741,199468,121071,59492,202413,44100,56646,52231,41086,116396
FL-22,FL,389651,27606,137952,209738,14344,84165,182568,197264,150022,209161,103953,53008,206597,45714,58912,49282,39900,109862
FL-23,FL,424407,36743,113634,168630,9910,82513,190995,210893,119052,163525,102806,49788,248090,46508,56129,51382,39190,127806
FL-24,FL,135526,16639,338202,288794,8095,103365,216956,188263,86002,245312,87644,51897,162752,63667,64907,50423,37141,72230
FL-25,FL,250270,48563,142336,331599,11402,92470,213825,196341,84200,178032,92269,55148,213593,42059,50102,43518,35325,111524
FL-26,FL,149228,12322,56007,561193,7679,93242,208950,200119,106697,273725,75326,53671,159092,50462,55900,46948,35123,80535
FL-27,FL,132078,20431,55568,566370,7522,93960,213399,193234,99470,205947,73592,48392,229571,54697,51114,42688,32328,107955
FL-28,FL,116007,17323,86320,559429,9855,94727,206678,193316,84965,238329,82283,55384,156039,41123,44593,41717,34337,85037
GA-01,GA,440636,23547,230783,59328,18654,112498,197872,178273,80052,211335,117296,44353,140949,53600,61483,52125,38718,83548
GA-02,GA,305611,15236,393195,45499,14135,107553,187863,180137,80624,240729,109591,46331,104303,78403,67583,48272,31995,59101
GA-03,GA,492494,21220,188947,48285,17559,97057,190678,196213,82172,219000,107957,45117,144014,45152,49440,46806,39935,99194
GA-04,GA,150803,80931,387919,147267,16524,110586,218360,170172,58418,176556,89199,46117,196085,41799,62509,49845,36288,87046
GA-05,GA,237353,47347,403564,75635,13244,142420,225988,155472,53771,156381,78065,33674,245043,63199,59788,47755,37022,113097
GA-06,GA,227858,32152,409519,94388,13956,119643,228098,166040,60075,147039,91176,40606,243286,38703,51927,52971,44307,124632
GA-07,GA,487523,112943,71376,78323,15416,77659,217904,198045,68950,107936,83339,32620,298220,22057,30746,33713,33325,159494
GA-08,GA,443123,16478,241628,54850,14145,108162,192084,183893,78539,241741,102264,48651,113614,64052,59665,47786,35027,72230
GA-09,GA,466010,58278,105451,123476,19506,94711,196844,192452,82848,215435,97501,42102,162599,36665,47962,44993,35902,100126
GA-10,GA,478059,22496,193877,58198,16216,114058,192339,182923,76279,211839,105389,41312,142575,45372,55149,47097,38941,90657
GA-11,GA,510228,39460,103505,92947,19805,97898,207240,189399,74647,165646,102844,38123,211847,32934,43474,41864,35415,127131
GA-12,GA,398843,20401,294961,43065,15358,110495,192760,178884,79787,235992,103161,46925,117701,62406,58823,46048,31648,69880
GA-13,GA,188099,59021,407986,110825,15994,98215,207011,186076,62491,193550,106676,48233,154748,29139,48091,48481,40186,92176
GA-14,GA,535516,16134,105435,91371,22549,94982,198424,191170,74498,228756,109881,40475,132723,40612,54256,46407,38659,91658
HI-01,HI,107302,495204,26105,56401,169992,98321,193266,175339,100228,165426,98879,59273,197886,27295,32775,34074,32257,123308
HI-02,HI,207063,328939,20678,82522,265638,92061,181503,182015,91674,181994,108187,53787,157097,29537,33479,34068,30536,106577
IA-01,IA,665052,22864,48473,44931,14989,111486,192665,196907,94927,195543,108552,62023,168266,50982,64300,57352,43230,106357
IA-02,IA,685368,16298,49037,29975,16264,104924,185215,202516,102258,207969,107658,70058,152408,49750,66090,59216,48678,103516
IA-03,IA,628821,37396,51400,64482,15404,104118,213340,185594,81767,185567,103859,56804,189778,43050,60197,55495,45770,117644
IA-04,IA,658960,20303,24078,76598,19374,110929,178985,196267,100933,212358,109186,66296,134877,52667,63186,59077,46239,97343
ID-01,ID,735930,21566,11407,108783,39884,110813,233458,228140,110021,224870,163875,61932,177481,46728,65697,65747,51817,110744
ID-02,ID,714593,25947,16238,130624,34961,135614,230258,199158,90687,198028,139689,57679,188742,49671,68410,63651,48889,103969
IL-01,IL,271776,19761,390300,69410,12028,101568,183724,195405,85127,181087,125577,44934,164119,62359,51569,43743,35838,101246
IL-02,IL,251234,10218,374697,115115,15440,97883,185493,188690,83301,212533,129082,45153,120425,63067,63857,51622,36418,78914
IL-03,IL,294530,55607,49086,356863,28711,109015,222689,169583,60652,208715,84063,37184,181441,35136,44959,41675,37481,108955
IL-04,IL,176438,34697,43251,500949,37901,106189,202959,159334,65723,261010,77115,29730,112213,38014,52297,40227,29541,81770
IL-05,IL,537619,94572,26813,88320,10891,119820,223556,174594,78736,98793,69375,27888,355166,34222,36863,40005,38455,179346
IL-06,IL,543039,52603,47441,102698,11761,85162,190428,202414,93973,152694,103181,45263,230885,30828,42995,42375,37385,139026
IL-07,IL,222189,73832,340341,118529,13032,132877,221578,152867,64942,167423,84639,29087,239170,71571,49725,38021,35018,125771
IL-08,IL,410205,117924,41348,179147,18407,93826,206815,192298,72297,172020,100911,44221,202370,26476,38152,42540,39663,131120
IL-09,IL,446387,125905,76904,98038,13633,94272,203996,191880,88563,124218,82377,34252,292125,41419,45945,43434,37852,135654
IL-10,IL,436320,70016,58457,180649,19346,94203,183547,195137,80004,147665,88014,32122,233374,28407,36708,35665,33469,138287
IL-11,IL,474649,72264,54717,142376,15774,91756,197359,192213,74764,145674,98226,39632,225454,25150,35109,38393,35565,142327
IL-12,IL,654662,11612,46547,21152,17265,89391,183151,199366,98839,209298,123303,67655,125073,57024,61565,52778,40619,89507
IL-13,IL,486087,38751,175650,37204,17352,122351,181983,180253,83224,186503,111640,46793,153843,66507,65641,55442,39966,84788
IL-14,IL,443276,46311,83511,172070,18528,103167,207191,170604,64430,180597,105028,44649,157881,30248,39504,40740,35704,117583
IL-15,IL,676214,8898,29684,21163,15152,85341,180223,202761,105548,226248,115342,54759,132604,48059,61026,54243,43768,96307
IL-16,IL,639296,21798,25596,49584,15479,82442,183709,197319,98992,189452,117224,54604,160549,38564,53171,50340,42624,116631
IL-17,IL,508830,20719,127870,84143,17127,109773,176014,185130,93611,214712,117246,50055,120758,70965,72679,55428,39680,76031
IN-01,IN,447626,14905,156823,124734,17771,94277,190543,193388,86799,230722,110762,44606,131178,49205,58172,48244,40778,95508
IN-02,IN,572604,15331,64160,85184,18161,100417,179928,182154,84465,236556,98100,41203,119227,46870,63646,52619,39699,79677
IN-03,IN,606817,24118,57946,50151,15540,98078,181540,182869,82866,226848,98806,48816,122432,43229,63556,57739,45105,83795
IN-04,IN,613531,31463,37411,53712,18921,113533,185406,180405,75941,201362,95683,41909,150589,41955,55489,50044,41847,99703
IN-05,IN,611605,33321,57591,34792,14940,99133,192620,184786,81824,169118,93562,43219,197671,41375,52720,50581,38170,112139
IN-06,IN,610472,45066,42050,39669,15773,96443,195530,180592,81444,220431,102129,45769,138919,41888,58651,53727,43969,93248
IN-07,IN,341540,20214,272334,111802,16926,121930,200971,165539,62011,195936,91928,36591,171701,64357,72182,56048,37936,78493
